kai,datetime,hour,minute,Tem,DO,Sal,nissyaryou,Chl.a
HIU,2017/2/21,11,35,10.88,9.4,32.77,16.62,2.3
HIU,2017/2/21,13,42,9.88,9.2,32.28,16.62,2
HIU,2017/2/21,14,42,10.25,9,32.53,16.62,0.8
HIU,2017/2/27,10,50,11.17,9.3,32.92,15.13,1.1
HIU,2017/2/27,12,35,10.77,9.7,32.81,15.13,1
HIU,2017/2/27,13,42,11.59,9,33.04,15.13,2.3
HIU,2017/2/28,8,50,10.4,10,32.42,19.07,3.9
HIU,2017/2/28,9,47,10.76,10.1,32.72,19.07,4.3
HIU,2017/2/28,11,24,10.58,9.4,32.63,19.07,0.5
HIU,2017/2/28,12,5,10.58,9.9,32.79,19.07,1.2
HIU,2017/2/28,13,10,11.2,10,32.91,19.07,2.3
HIU,2017/5/22,10,23,19.36,8.6,32.79,28.12,1.3
HIU,2017/5/22,11,28,19.91,8.5,32.84,28.12,1.2
HIU,2017/5/22,13,36,20.84,9.6,32.45,28.12,2.7
HIU,2017/5/22,14,36,21.87,9.3,32.65,28.12,2.3
HIU,2017/5/29,10,32,17.34,8.2,33.01,27.45,1.4
HIU,2017/5/29,11,13,18.19,8.2,32.92,27.45,0.9
HIU,2017/5/29,12,55,20.15,8.6,32.6,27.45,1.3
HIU,2017/5/30,8,48,20.79,8.7,32.48,24.43,2.1
HIU,2017/5/30,9,53,21.4,8.6,32.62,24.43,1.4
HIU,2017/5/30,11,35,22.09,8.6,32.76,24.43,1.3
HIU,2017/5/30,12,16,20.27,8.8,32.71,24.43,1.3
HIU,2017/5/30,13,19,21.03,8.8,32.71,24.43,0.9
HIU,2017/8/23,10,33,26.3,6.3,32.71,21.12,1.7
HIU,2017/8/23,11,17,27.92,6.9,32.53,21.12,2.4
HIU,2017/8/23,13,4,29.03,7.3,32.41,21.12,0.9
HIU,2017/8/24,8,45,29.28,6.9,32.43,24.87,0.8
HIU,2017/8/24,9,49,29.32,6.9,32.44,24.87,0.5
HIU,2017/8/24,11,29,29.73,7.4,32.36,24.87,1.4
HIU,2017/8/24,12,14,29.05,7.7,32.26,24.87,1.2
HIU,2017/8/24,13,24,28.65,7.3,32.44,24.87,1.2
HIU,2017/8/25,10,4,28.97,7.5,32.09,18.19,1.7
HIU,2017/8/25,11,9,28.89,7.3,32.27,18.19,1.3
HIU,2017/8/25,13,33,30.57,7.6,32.35,18.19,2
HIU,2017/8/25,14,32,30.44,7.5,32.19,18.19,1
HIU,2017/10/24,9,57,21.57,6.7,31.87,8.45,1.2
HIU,2017/10/24,10,57,20.44,7.1,29.9,8.45,1.3
HIU,2017/10/24,13,21,21.53,7,30.49,8.45,1.4
HIU,2017/10/24,14,21,22.03,6.3,31.97,8.45,1.2
HIU,2017/10/25,11,0,21.84,6.7,32.01,16.1,0.5
HIU,2017/10/25,11,43,21.58,6.7,31.79,16.1,1.2
HIU,2017/10/25,12,43,21.44,6.8,31.79,16.1,0.8
HIU,2017/10/25,13,27,20.21,8,29.17,16.1,3.4
HIU,2017/10/25,14,23,21.39,7.2,30.65,16.1,1.5
HIU,2017/10/26,9,39,21.19,6.6,30.73,16.01,2.1
HIU,2017/10/26,10,31,20.66,7.7,30.97,16.01,3.6
HIU,2017/10/26,11,20,20.46,7.7,30.37,16.01,2.3
HIU,2018/2/14,10,8,8.64,9.46,33.08,16.46,2
HIU,2018/2/14,11,8,8.96,9.34,33.14,16.46,1.9
HIU,2018/2/14,13,29,9.11,9.23,33.16,16.46,1
HIU,2018/2/14,14,30,8.16,9.05,32.99,16.46,0.6
HIU,2018/2/19,10,28,9.93,9.53,33.25,8.38,2.3
HIU,2018/2/19,11,12,9.66,9.99,33.19,8.38,2.9
HIU,2018/2/19,12,54,9.56,10.21,33.19,8.38,2
HIU,2018/2/19,13,40,9.25,9.95,33.18,8.38,1.2
HIU,2018/2/20,8,42,9.74,9.89,33.27,16.72,2.6
HIU,2018/2/20,9,44,8.64,10.3,33.04,16.72,4.1
HIU,2018/2/20,11,25,7.86,9.71,32.9,16.72,0.5
HIU,2018/2/20,12,5,9.18,9.92,33.18,16.72,0.2
HIU,2018/5/16,10,26,15.23,8.5,33.03,15.33,0.6
HIU,2018/5/16,11,10,16.47,8.6,32.77,15.33,0.5
HIU,2018/5/16,12,56,17.31,8.45,32.55,15.33,0.2
HIU,2018/5/16,13,39,17.55,8.6,32.35,15.33,0.4
HIU,2018/5/17,8,46,18.87,9.76,31.38,24.83,2.4
HIU,2018/5/17,9,50,19.39,8.72,32.2,24.83,0.5
HIU,2018/5/17,11,30,19.48,8.9,32.14,24.83,0.5
HIU,2018/5/17,12,11,18.2,8.37,32.49,24.83,0.5
HIU,2018/5/24,10,4,16.98,8.62,32.65,29.67,0.8
HIU,2018/5/24,11,4,18.46,8.04,32.4,29.67,0.4
HIU,2018/5/24,13,28,19.56,8.32,32.18,29.67,0.6
HIU,2018/5/24,14,30,18.1,9.22,32.22,29.67,1.7
HIU,2018/8/27,10,6,28.36,6.88,30.93,21.13,0.4
HIU,2018/8/27,11,7,28.78,6.66,31.03,21.13,0.2
HIU,2018/8/27,13,28,28.65,7.56,30.94,21.13,0.2
HIU,2018/8/27,14,28,29.24,7.33,30.77,21.13,0.1
HIU,2019/2/20,10,20,11.53,8.96,32.87,4.12,0.5
HIU,2019/2/20,11,1,11.32,9.07,32.78,4.12,0.6
HIU,2019/2/20,12,48,11.05,9.43,32.69,4.12,1
HIU,2019/2/21,8,50,10.79,9.66,32.54,10.2,1.5
HIU,2019/2/21,9,52,10.64,9.82,32.33,10.2,1.2
HIU,2019/2/21,10,4,10.23,8.82,32.47,10.2,2
HIU,2019/2/21,10,56,10.7,9.72,32.48,10.2,0.4
HIU,2019/2/21,11,8,10.31,8.9,32.51,10.2,0.4
HIU,2019/2/21,11,56,10.33,9.52,32.51,10.2,0.3
HIU,2019/2/21,13,0,10.92,9.59,32.65,10.2,0.4
HIU,2019/2/21,13,28,10.7,9.09,32.43,10.2,0.3
HIU,2019/2/21,14,33,10.5,9.26,32.33,10.2,2.9
HIU,2019/5/22,9,54,18.6,8.21,32.4,29.93,1.4
HIU,2019/5/29,11,2,18.03,8.16,32.76,22.82,1
HIU,2019/5/29,11,49,18.92,8.24,32.63,22.82,0.6
HIU,2019/5/29,13,41,19.99,8.54,32.37,22.82,0.8
HIU,2019/5/30,8,45,20.09,8.57,32.45,26.14,0.7
HIU,2019/5/30,9,52,20.63,8.19,32.24,26.14,0.6
HIU,2019/5/30,11,0,20.91,8.69,32.35,26.14,0.8
HIU,2019/5/30,12,0,20.32,8.78,32.3,26.14,0.7
HIU,2019/5/30,13,4,19.92,8.31,32.45,26.14,0.7
HIU,2019/10/30,10,7,22.52,6.52,31.88,10.97,0.8
HIU,2019/10/30,11,14,22.72,6.74,31.88,10.97,2.6
HIU,2019/10/30,13,24,22.78,6.72,31.85,10.97,1.2
HIU,2019/10/30,14,26,22.84,6.59,31.86,10.97,1.8
HIU,2020/2/19,11,1,12.15,8.54,33.01,17.56,0.7
HIU,2020/2/19,11,47,11.73,8.72,32.92,17.56,1.2
HIU,2020/2/19,13,30,11.83,8.86,32.95,17.56,1.6
HIU,2020/2/20,8,46,11.78,8.77,32.97,13.52,1.9
HIU,2020/2/20,9,47,10.87,9.25,32.4,13.52,2.5
HIU,2020/2/20,10,50,10.54,9.24,32.59,13.52,2.6
HIU,2020/2/20,11,47,10.77,9.16,32.67,13.52,1.5
HIU,2020/2/20,12,48,11.76,8.88,32.91,13.52,1.1
HIU,2020/2/21,10,8,10.37,8.44,32.68,17.55,1
HIU,2020/2/21,11,10,11.3,8.38,32.89,17.55,1.1
HIU,2020/2/21,13,20,10.82,8.56,32.81,17.55,1.3
HIU,2020/2/21,14,23,10.35,8.67,32.59,17.55,2.3
HIU,2020/6/3,10,56,18.02,8.01,32.69,16.35,1.3
HIU,2020/6/3,11,45,19.27,8.19,32.3,16.35,1.6
HIU,2020/6/3,13,30,20.71,8.46,32.3,16.35,1.1
HIU,2020/6/4,8,54,20.77,8.3,32.35,25.96,1.7
HIU,2020/6/4,9,54,21.84,9.35,32.22,25.96,3.2
HIU,2020/6/4,11,31,21.89,8.7,32.18,25.96,1.5
HIU,2020/6/4,12,10,21.28,8.39,32.05,25.96,1
HIU,2020/6/4,13,11,20.33,8.43,32.15,25.96,2
HIU,2020/6/8,9,55,21.54,7.95,32.2,29.77,0.5
HIU,2020/6/8,10,57,22.08,8.21,32.2,29.77,0.4
HIU,2020/6/8,11,36,23.78,8.19,32.29,29.77,0.8
HIU,2020/6/8,14,3,22.58,8.35,32.18,29.77,0.6
HIU,2020/8/19,11,8,25.32,6.26,31.36,24.69,1.1
HIU,2020/8/19,11,54,27.53,7.47,30.91,24.69,1.6
HIU,2020/8/19,13,53,31.08,7.97,30.48,24.69,0.4
HIU,2020/8/20,8,56,30.68,7.93,30.43,23.4,0.5
HIU,2020/8/20,9,55,29.94,8.28,30.51,23.4,1.2
HIU,2020/8/20,11,49,31.53,8.06,30.41,23.4,0.3
HIU,2020/8/20,12,29,29.49,8.49,30.52,23.4,0.8
HIU,2020/8/20,13,30,29.09,7.93,30.75,23.4,0.6
HIU,2020/8/26,9,58,28.62,5.75,30.66,21.11,1.7
HIU,2020/8/26,10,59,29.08,6.91,30.65,21.11,1.3
HIU,2020/8/26,11,38,29.72,7.54,30.45,21.11,0.7
HIU,2020/8/26,14,4,30.33,7.47,30.6,21.11,1
HIU,2020/10/19,9,55,22.93,7.72,30.95,5.7,3.3
HIU,2020/10/19,11,0,23.26,6.93,30.83,5.7,2.9
HIU,2020/10/19,11,42,23.4,6.3,30.9,5.7,3.3
HIU,2020/10/19,14,3,23.27,7.28,30.82,5.7,2
HIU,2020/11/9,11,7,21.02,6.8,31.72,14.24,0.8
HIU,2020/11/9,11,53,20.92,7.05,31.47,14.24,1
HIU,2020/11/9,13,36,21.17,7.15,31.37,14.24,0.9
HIU,2020/11/10,9,9,19.81,7.05,30.99,13.18,2.8
HIU,2020/11/10,10,20,20.12,7.01,31.03,13.18,1.1
HIU,2020/11/10,12,6,20.02,7.36,30.95,13.18,1.8
HIU,2020/11/10,12,54,19.96,7.14,31.03,13.18,1.7
HIU,2020/11/10,14,9,20.07,7.24,31.23,13.18,1.6
HIU,2021/2/24,11,0,11.346,9.405,32.969,16.44,2
HIU,2021/2/24,11,49,10.649,9.693,32.695,16.44,3
HIU,2021/2/24,13,36,10.849,9.982,32.728,16.44,1.4
HIU,2021/2/25,8,56,11.126,9.919,32.857,16.35,3
HIU,2021/2/25,9,58,10.748,9.792,32.749,16.35,2.7
HIU,2021/2/25,10,9,10.871,8.846,32.799,16.35,1.8
HIU,2021/2/25,11,3,10.354,10.091,32.543,16.35,2.8
HIU,2021/2/25,11,13,10.563,8.893,32.691,16.35,1.2
HIU,2021/2/25,12,2,10.437,9.821,32.584,16.35,2.5
HIU,2021/2/25,13,5,10.712,9.851,32.705,16.35,1.5
HIU,2021/2/25,13,31,10.479,9.397,32.491,16.35,1.4
HIU,2021/2/25,14,33,10.231,9.116,32.536,16.35,0.9
HIU,2021/5/20,10,11,18.569,8.457,31.992,6.04,3.3
HIU,2021/5/20,11,16,19.057,8.519,32.171,6.04,4.1
HIU,2021/5/20,13,31,18.935,8.552,32.212,6.04,9.2
HIU,2021/5/20,14,35,18.791,8.844,32.258,6.04,4.2
HIU,2021/6/2,11,25,18.624,8.59,32.409,19.7,1.6
HIU,2021/6/2,12,13,18.375,8.451,32.42,19.7,1.1
HIU,2021/6/2,13,57,19.78,9.187,32.332,19.7,1
HIU,2021/6/3,9,3,20.589,9.019,31.946,12.32,1.6
HIU,2021/6/3,10,10,21.326,9.467,31.936,12.32,2.4
HIU,2021/6/3,11,19,19.809,9.088,32.055,12.32,2
HIU,2021/6/3,12,17,20.785,9.589,31.92,12.32,2.2
HIU,2021/6/3,13,19,19.928,8.563,32.222,12.32,1.5
HIU,2021/9/7,10,0,27.484,7.315,30.145,14.06,1.2
HIU,2021/9/7,11,3,27.473,7.296,30.199,14.06,1.5
HIU,2021/9/7,11,45,27.7,7.471,30.267,14.06,1.8
HIU,2021/9/7,14,6,28.117,8.498,29.738,14.06,2.1
HIU,2021/10/20,10,42,24.356,6.305,31.426,14.07,1.8
HIU,2021/10/20,11,30,24.447,6.618,30.846,14.07,2.2
HIU,2021/10/20,13,16,24.684,6.602,30.722,14.07,2.5
HIU,2021/10/21,8,56,23.671,6.916,30.586,8.86,4.2
HIU,2021/10/21,10,11,23.96,6.641,30.57,8.86,4.1
HIU,2021/10/21,12,4,24.151,6.565,30.467,8.86,3.5
HIU,2021/10/21,12,53,23.94,7.086,30.537,8.86,3.7
HIU,2021/10/21,14,9,23.916,7.249,30.585,8.86,3.3
HIU,2022/2/18,10,5,8.87,8.73,32.31,15.47,1.2
HIU,2022/2/18,11,4,8.96,8.76,32.33,15.47,1.4
HIU,2022/2/18,11,42,9.35,8.75,32.41,15.47,1.5
HIU,2022/2/18,14,0,9.03,8.88,32.28,15.47,1.7
HIU,2022/5/18,10,4,17.76,8.6,32.05,28.95,0.8
HIU,2022/5/18,11,7,17.8,8.64,32.04,28.95,1
HIU,2022/5/18,11,45,18.9,9.11,31.71,28.95,0.4
HIU,2022/5/18,13,59,18.59,9.07,31.76,28.95,0.2
HIU,2022/8/24,11,42,29.52,6.59,31.81,10.67,0.9
HIU,2022/8/24,12,33,29.26,6.5,31.84,10.67,1.8
HIU,2022/8/24,14,20,29.63,6.74,31.88,10.67,0.6
HIU,2022/8/25,8,53,29.69,6.86,31.74,20.16,0.6
HIU,2022/8/25,9,57,29.75,6.38,31.72,20.16,0.8
HIU,2022/8/25,11,10,29.75,6.74,31.78,20.16,0.8
HIU,2022/8/25,12,15,29.27,6.83,31.9,20.16,4
HIU,2022/8/25,13,22,28.88,6.78,31.9,20.16,1.7
HIU,2022/10/13,10,40,24.16,6.59,32.32,17.43,1.8
HIU,2022/10/13,11,25,24.25,7.41,32.06,17.43,5.5
HIU,2022/10/13,13,8,24.45,7.63,31.98,17.43,5.4
HIU,2022/10/14,8,55,23.17,8.41,31.36,14.28,11
HIU,2022/10/14,10,0,23.95,7.35,31.63,14.28,6.1
HIU,2022/10/14,11,22,24.01,7.48,31.61,14.28,5.3
HIU,2022/10/14,12,45,24.22,7.81,31.95,14.28,2.1
HIU,2022/10/14,13,58,23.98,8.28,31.96,14.28,4.6
